property_address,categories
"plot no. 01, s. no. 35/4/3/1 vadgaon belhe, yeola near kapse foundation , vadgaon belhe, yeola",houseorplot
flat no-1002 10 jasmine hiranandani fortune city-jasmine naajivali bhokarpada bhokarpada bhokarpada khalapur raigad panvel maharashtra 410221,flat
"plot no-w-24, part of khasra no-223, 234 and 248 min, area-1500 sq.ft, situated at village-devpur, tehsil & district-lucknow",houseorplot
saxena ka pura banmor bamaur khurd morena,others
"kila no 211,/,/,near chana hospital,kauriyan road,dirba,,sangrur,punjab,148035",landparcel
"flat-9a,floor-9 merlin urvan blk-3 plot 1509,1514-23,1516/1615,,sno hold-147,r.n.guha road,khatian- 481,513,173/1,173,mouza-dighla, jl-18,ward-9ps-dumdum north 24 parganas 700028 west bengal",flat
"705, wing a, siddhi vihar, infront of abne hospital, hadapsar, hadapsar, pune, maharashtra, india, 411028",flat
"704 7th floor b wing leela shanti heights 19-23,51-60,131-134,147-150,163-166/bopp victoria park victoria park road iscon mega city bhavnagar bhavnagar bhavnagar gujarat 364001",flat
"c/782 b/h. taj hotel, hansol, hariom avenue, sr no 369/229 f p no 102 tp no 759 opp. ran mukteshwar mandir",flat
"flat-c004,floor-ground rudraksh-ii block-c s no 854,855,864,865,866,,gramshri kishanpura,tehsilsanganer,jagatpura,jaipur jaipur 303806 rajasthan",flat
"flat no-5, 4th floor , aaksh deep , na, aakash deep, residential flat no-5, on the 4th floor, south-east side, premises no-5, lower rowdon street (now rowland row), p.o-ballygunge, p.s- ballygunge, under kolkata municipal corporation, ward no-69, dist.- south 24 parganas, kolkata-700020., near la martiniere school, lower rawdon street(now rowland row) , calcutta, ballygunge, kolkata, west bengal, 700020",flat
"flat-131,floor-fifth nagrik srushti plot 144,638,568,sector 19kopar khairne navi mumbai 400709 maharashtra",flat
"villa no. 51, house no.e-4/15d/1/v-51, survey no. 37/5, village calangute, near shivam resort, porbavaddo ward, calangute, bardez,north goa ground and first floor, ""orchard villas"", near ms hardware shop",houseorplot
shop no 19 city survey no 723 sheet no 898 bajirao galli on ground floor in house no 120 mouza nagpur ward no 32 c no 873 108 shiv mandir golibar chowk gandhibagh,commercial unit
"property bearing no. 83 and 84, ugf, upper ground floor without roof rights, ., property bearing no. 83 and 84, entire upper ground floor without roof rights, pocket 09, sector 24, rohini, delhi - 110085., plot no. 83 and 84, near by dda market, pocket 09, sector 24, delhi, rohini, north west delhi, delhi, 110085",flat
"shop-350,floor-third mauli tower plot 538,s no gut no. 46situated at hirapur, aurangabad-ms 431001 maharashtra",commercial unit
"mohalla harijano wala kithore meerut , mohalla harijano wala kithore meerut , mohalla harijano wala kithore meerut , urban , meerut , uttar pradesh , india - 250104",others
761 ibrahim complex near juna st stand chiplun ibrahim complex chiplun near juna st stand 427 ibrahim complex near juna st stand,others
"sy. no. 5945/4, ward no. bettahalasuru, adjacent to government primary school, jhunjhunu, rajasthan - 341805",landparcel
"all that piece and parcel of the property bearing 7484/353 as per 167 and 576 a issued by the ilwala grama panchayath pid no 152200403160025873 situated at karakanahalli village, ilwala grama panchayath, mysore taluk, mysore district measuring east to west 776.582+832.746/988 meter and north to south 713.59+ 325.864/759 meter total measuring 257.915 square meter, bounded as under",others
"room no 32 , ganmurty society plot no 109 plot no 109 ,sector no 1 b, gorai borivali west n.a greater mumbai mumbai suburban mumbai maharashtra 400092",flat
shop no 743 1st flr opp samrat internation school dumbhal ams sri vardhan tex market opp samrat international school,commercial unit
flat no. 2201 northside hiranandani meadows gladys alwar es road next to kashinath ghanekar auditorium gladys alwarys 0 northside gladys alwarys,flat
"shop no.937, and 367, 3rd floor, golden plaza, b/s. raghunandan textile market, ring road, salabatpura, surat-395002",commercial unit
"all the piece and parcel of immovable property a residential house, bearing revenue survey no. 427/1; city survey no. 2898 paiki; city survey ward no. 2; house constructed on land area admeasuring 42-00 sq. mtrs; of plot no. 13 paiki west side; at. village: gondal; ta.: gondal; dist.: rajkot of gujarat state",houseorplot
"s no 1452/2, plot no 12 ep,wp, new s no 1452/2a, sri anjaneyar nagar, enjar village, virudhunagar, virudhunagar, tamil nadu, india, 626123",houseorplot
"flat no. a/26 ankur complex(aeravat non treading corporation) block. a gheekanta road 4th floor city survey no. 2200 to 2204 sheet no. 36 mouje. kalupur inside panjarapol, opp. gheekanta metro station ahmadabad ahmadabad gujarat ahmedabad 380013",flat
577 sayaji nagar society sayajipura sayajipura 912 sayaji nagar society sayajipura,others
"flat bearing no.705, on the 7th floor, admeasuring 26.60 square meter carpet area and open terrace, in building known as unique avenue, in the society known as unique avenue 210 cooperative housing society ltd., constructed on n.a. land bearing survey no. 250 new, 200 old, s. no. 210 new 201 old, s. no. 211 new, 472 a old land lying being and situated at village nilemore, nalasopara west, taluka vasai, district palghar – 401203.",flat
"shop no 124, ground floor, maa shimla homes 897, village fatehullapur tehsil, kharar, sas nagar (mohali), punjab, india, 140301",commercial unit
"gata no. 9211/7, tehsil bettahalasuru, behind infopark, mohali, punjab - 562523",landparcel
"khasra 295 mini uttri 297,300 shastri nagar ,rohtak , rohtak , , rural , rohtak , haryana , india - 124001",landparcel
cuddalore rd cuddalore joined 161 sro kandakkadu gunduppalavadi cuddalore tamil nadu-607002,others
"flat-a/503,floor-5 nand villa-a wing s no 633, 634/1,block 585,fp193/p/sp 1, tp84(kosad-bharthana kosad-motavarachha-abrama), motavarachha surat 395006 gujarat",flat
shop no. 28 and 29 0 commercial ramnath harmony r.s no. 856 gold city tarsali bypass crossing vadodara vadodra gujarat 390009,commercial unit
"ward no 11 pid no 41, nagara sabhe, khatha no 442/b, veerasagara extension, tumkur, tumkur, karnataka, india, 572101",houseorplot
unit no. 106 241 royal shopping centre royal shopping centre ambadi road vasai west palghar vasai road maharashtra 401202,commercial unit
"gata no. 2886/8, mouza kothanur, opposite primary school, chengalpattu, tamil nadu - 285717",landparcel
"dag no. 8403/9, village kaza, beside community park, ranikhet, uttarakhand - 210310",landparcel
"row house-a04 pearl city a01 to a07 s no gut no. 437 & 438 (p)chikalthana, aurangabad-ms 431007 maharashtra",houseorplot
"row house-81 keshav park society rs no 131, b no 123/2b/h shanti nagar societynr sarthana jakat nakasurat to kamrej road,sarthana surat 395006 gujarat",houseorplot
"nanablock d, , property no. d-22, near sai mandir, sector 40, gautam buddha nagar, noida, gautam buddha nagar, uttar pradesh, 201301",others
"plot no grpa e2, godrej, retreat symphony, sector 83, faridabad, haryana, india, 121002",houseorplot
"premises no.9c/z-1 situated on mohalla hemant vihar, barra-2 0 pargana tehsil & dist. kanpur nagar-208014 sachan chauraha",others
"plot no. 11 and 12, gat no. 255, survey no. 90/1 and 90/2, mouza rewasa, pragane nandgaon peth, grampanchayat rewasa, walgaon road, near bharat petroleum, tah. amravati maharashtra 444603",houseorplot
"flat no.-a3-201, 2, 2nd floor block-a tower-a3, uninav bliss, flat no.-a3-201 2nd floor block-a tower-a3 uninav bliss raj nagar ext. ghaziabad, na, near kw sristi, raj nagar ext., ghaziabad, ghaziabad, ghaziabad, uttar pradesh, 201001",flat
"207, 208, 2nd floor, nilyash complex, opp. maskati market, sakar bazar road, kalupur, ta. city, dist. ahmedabad 380002",flat
c 631 the otherside c 254near vansajada gam sanand kadi road sanand ahmedabad chekhla gujarat 382115,others
"flat no 203 2nd floor ornate heights phase 1 wing b building no 4 syno 7 hissa no 5,6,7&51, hissa no 14 ghokhivere, vasai east 401208",flat
"property no 157, 229 raja garden, na",others
shop no 01 and 02 gf at in building constructed over jhunjhunwala dharmshala ke samne nawalgarh patta no 1802 near nansa gate,commercial unit
part of house tp no 501 515 and 500 514 tehsil sadar district shahjhanpur mohalla rangmahla khoya mandi,houseorplot
"mohalla ajad nagar linepar, tehsil & district, firozabad, uttar pardesh - 283203.",others
"row house,aw 19,super city,super ,indore,indore,madhya pradesh,453771",houseorplot
"address:nananaresy no.389/10 , 389/21 , 389/11, door no. 10/194, arun bhavan, kambamkode, vayakkal po, ummannoor panchayath, valakam village, kottarakara taluk, kollam district, 389/11 , 389/10 , 389/21, near vanchipetty junction, vayakkal, araykal, kollam, arackal podiyattuvila, kottarakkara, kollam, kerala, 691532",houseorplot
"flat-302,floor-3 corner stone tower 3 plot in,s no 182 to 188, 189/1& 189/2,puppalguda(v),manikonda municipality,gandipet(m), r r dist rangareddy 500089 telangana",flat
d/203 vasupujya residency pal surat adajan dn opp raj corner surat,flat
"198/2 gali no 7, new patel park linepar bahadurgarh jhajjar haryana 124507",houseorplot
patta no 11book no 81 patta no. 11 book no. 81 village gandhi bari patta no. 11 book no. 81 village gandhi bar near water works gandhi bari,landparcel
"48/1,182-6,182-6b,nehru street,varanavasi village,walajabad taluk,near by panchayat govt school,kancheepuram,tamil nadu,631604",houseorplot
unit-b-45 shekhawat colony s no sirsi road jaipur 302012 rajasthan,others
unit-c-9+10 surema park rs-425/1 b/h nirman parkvishwamitry roadmanjalpurvadodara vadodara 390011 gujarat,flat
unit no f 5 4th floor shanti nagar andheri east pinnacle business park mahakali caves road oppgavdevi santoshi mata mandi,commercial unit
1003 10th ajay sahavas 'b' chs ltd ajay sahavas 'b' chs ltd na nariman road vile parle east mumbai suburban mumbai maharashtra 400057,flat
"b 307, 3rd floor, kusum cosmopolitan housing society ltd, sector 17, vashi, navi mumbai 400703",flat
"house no-250, pink city colony, old khasra no-523, new khasra no-1162, kasba dadri, tehsil dadri, gautam buddha nagar, uttar pradesh-203207",houseorplot
"flat-301,floor-3 satre happynest sale bldg 3 s no 26, 939, 940, 940/1-3,941, 934b, 956a,shree ganeshniwas sra chsl golden palacechs, datar colony road, damlecolony, kanjurmarg east. mumbai 400042 maharashtra",flat
"nananavillage tejpur kh no 803 patta no 13 ambamata chouk teh and distt banswara raj 327001, village tejpur kh no 803 patta no 13 ambamata ch, near amba mata chouk, banswara, tejpur, amba mata chouk vill tejpur teh banswara dist banswara raj.327001, banswara, banswara, rajasthan, 327001",landparcel
"plot no 12 of, bhukhand no 31 and, 32 khasra no 445 mi, situated at, tehri visthapit area roshnabad village salempur mehdood 1 pargana roorkee withhin municipal limit, tehsil and district, haridwar, haridwar, uttarakhand, india, 247667",houseorplot
"gut no. 67/3 (old gut no. 537/3), plot no. 12 total adm. 49.88 sq.mt, built up area. 63.63 sq.mt, situated at. dr. hedagewar nagar, dharangaon, tq. dharangaon & dist. jalgaon",houseorplot
"plot no152b and 152a,khatu shyam colony,khasra no 1156,village bishada,pargana and tehsil dadri,nearby bishada temple,gautam buddha nagar,uttar pradesh,201008",houseorplot
"old natham s f no.69/1 part, new s f no.69/123, d no.10/16-1, vasanthapuram village, veppanatham pudhur, namakkal joint 2 sro, namakkal taluk & dt, namakkal, namakkal, tamil nadu, india, 637002",houseorplot
"flat-m664,floor-3 sahara residency s no 118/749,near balaji chowk,chinch pada village kalyaneast kalyan-dombivali 421306 maharashtra",flat
"two side open g/f shop without terrace right out of property bearing mcd no. 694 situated at bhagwan nagar, new delhi ,delhi,delhi",commercial unit
plot-c-ii/183 jorbeer residentialtownship nr camel researh centre - nrccjaipur - jodhpur bye passbikaner bikaner 334001 rajasthan,houseorplot
"vill. bajor, th. piprali, dis. sikar rajasthan 332403",others
"survey no. 6565/8, p.s. madhavpur, near ganga ghat, patna, bihar - 835709",landparcel
"house build on plot, part of aarazi no. 379, 380, 397, 398, area 143.73 sq. meter, situated at village ustapur mahmudabad pargana jhunsi tehsil phulpur dist.- allahabad uttar pradesh.",houseorplot
"flat-m125,floor-10 siri enclave s no 540/a2,d.no:489-398,gollapudi, donka road, aty-junction, by-pass road. krishna 521225 andhra pradesh",flat
"unit number ou111, 805, primarc chambers, primarc chambers, 527 laskarhat road kolkata - 700039 ward no107 rs dag no.278 187 377 rs khatian no 17 874 990 jl no.254 mouza-laskarhat pstiljala now kasba jl no.119 mouza-laskarhat ps-tiljala now kasba, n.a, calcutta high school or arsalan em bypass, n.a, calcutta, n.a., picnic garden bediadanga, kolkata, kolkata, west bengal, 700039",commercial unit
"na, na, nabha gate, b-732/48 new no. 52/645, nabha gate, patiala. , b-746/941 new no. 898/787, nabha gate, patiala. , na, nabha gate, nabha gate, patiala, patiala , patiala, punjab, 147001",others
"project name:vijayanagar 4th stage, revenue record no:6697/a vijayanagar 4th stage deavaraja mohalla mysore, plot no:6697/a, mrp bar, deavaraja mohalla, mysore, mysuru karnataka, 570017",houseorplot
unit-228 silver star city s no silver star city indore 453331 madhya pradesh,flat
"flat-g429,floor-ninth chordiya galaxy s no 176/559/232,986/290/695,323/1a/27,laneno 334, kakde wasti,marketyardroad, kondhwa bk,pune pune 411048 maharashtra",flat
"khassra139m//16/1(3-7).......17/1/2(214),colony maha shakti enclavetehsil zira,district firozpurhouse in firozpur 142047 punjab",houseorplot
"shed no 392, 576, khasra no 43, khata no 346/826, & 780/707, jamabandi shed no 125, 385, khasra no 311, khata no 491/226, & 257/267, jamabandi ndustrial property situated at m/s hari om agro industry 499-802, nr dairy complex",commercial unit
"shop on ground floor without roof right, old ward no. 965 present ward no. 982 balaji complex, village-losal, tehsil-dantaramgarh, distt-sikar, rajasthan, 332025. 439 teh dantaramgarh near success coaching class",commercial unit
"bungalow,4 and 5,gokuldham society ,kant road ,kant road deesa,banaskantha,deesa,banaskantha,gujarat,385535",houseorplot
"232, 474 floor, kanhas aashiyana, plot no 171 sec 364 ulwe, 977, ulwe masjid, ulwe panvel, panvel, ulwe, pushapak nagar, panvel, raigad",flat
16 korochi kolhapur,others
"r.s.no- 229p, nr hari om cotton, plot no-1 to 7,hirapar tankara - latipar road",houseorplot
"residential, plot no 25, khasra no 1005m, situated at shri ganpati vihar phase 1 village jwalapur pargana jwalapur, tehsil and distt haridwar within mc limit haridwar, haridwar, haridwar, uttarakhand, india, 249407",houseorplot
"plot no c 60,khasra no 1 and 111/2,,,ganeshpuri colony, village pasonda,pargana loni,near hanuman mandir,ghaziabad,uttar pradesh,201005",houseorplot
"survey no. 1686/3, tehsil manesar, beside outer ring road, mohali, punjab - 500046",landparcel
"flat-m1-1050,floor-10 ashiana tarang l(49,55),m(50-54,56) s no kh.no.779,kh. no.780,782925/829,781, 783,927/844929/828, milkapur gurjar,tehsil tijara alwar 301019 rajasthan",flat
"all the piece and parcel of immovable property being residential house, bearing revenue survey no. 15 paiki; area known as ���shantivan���; house constructed on land area admeasuring 46-45 sq. mtrs; of plot no. 113 paiki; at. village: trajpar; ta.:dist.: morbi of gujarat state.",houseorplot
"s no 1803/7m 1803/8a, plot no 42, patta no 9598, sri vels avenue, thadikombu village, dindigul, dindigul, tamil nadu, india, 624709",houseorplot
"flat-501,floor-5 sheth zuri bldg-2 wing-c s no 85/1,2,3,4,5,next toviviana mall, eastern-expresshighway , thane west thane 400606 maharashtra",flat
"flat-803,floor-08 nayan nature springs block b plot in,s no 488/a,489/a,490pkukatpally(v) & (m)medchal-malkajgiri dist hyderabad-ap 500072 telangana",flat
"house on,plot part of,khassrano 172 to 180,village tulapurtehsil /parg,bd e /s-araziw/n-rd bareilly 243001 uttar pradesh",houseorplot
"unit-06/a sopan bunglows-ii r.s.1089/2/b,f.p.133/p(north)opp.priya park & sarvoday parkanand- juna mogri road,off sojitra road,anand anand 388001 gujarat",houseorplot
"flat-15,floor-3 ganesh prem chs wing a s no-18shashtri nagarnear ram mandirdombivli westdist thane kalyan-dombivali 421202 maharashtra",flat
plot no 66 block no b (known as b-66 ) wasirpur residencial scheme phase-1 ashok vihar delhi 110052,houseorplot
showroom no 148 defense enclave wakia moja lohgarh zirakpur main highway patiala road mohali,commercial unit
"plot no 6,khasra no -168mi,raghunath pur,village jalalpur,pargana jalalabad,ntpc,ghaziabad,uttar pradesh,201206",houseorplot
"re-survey no. 903/3, ward no. rajarhat, near panchayat office, yamunanagar, haryana - 484187",landparcel
"304, 3rd floor , ankura enclave , ankura enclave , residential flat bearing no. 304, in third floor, in ankura enclave, constructed on plot nos.50 and 53 (west part), admeasuring 266.66 sq. yards, plot no.51, admeasuring 391.66 sq. yards and plot no.52 (west part), admeasuring 229.48 sq. yards, total admeasuring 887.8 sq. yards or its equivalent to 742.2 sq.metres, in survey no.239, in surya nagar, situated at bagh hayathnagar village, hayathnagar revenue mandal, ranga reddy district, under ward no.4, block no.8 of ghmc, hayathnagar circle, avn agastya international school, hyderabad, hayath nagar, ranga reddy, telangana, 501505",flat
"all that piece and parcel of land measuring 2 katha 1 chattak 15 sq. ft. comprising in r.s khatian 195, corresponding to l.r khatian no. 407, r.s and l.r plot no. 886, mouza – kora, r.s touzi no.567 l.r plot no. 886, mouza – kora, r.s touzi no.567, l.r touzi no.12, j.l no. 27, dist. north 24 pargana, p.s and adsr – barasat",houseorplot
259 plot riyasat paradise navatika vatika vatika jaipur jaipur rajasthan 302029,houseorplot
plot no. a-33 village-pipliyahana chitra estate near bengali square,houseorplot
"plot on,s no khasra 90/2 minvillage bhagwanpur bichlapargana bhawar cha khatatehsil haldwani,e-prp,w-prpn-rd,s-rd naintal 263139 uttarakhand",houseorplot
"ts no 258 part, ward no 3, block no 8, door no 3, mutt street, kumbakonam, thanjavur, tamil nadu, india, 612001",houseorplot
"site no.15,sub div rsf no.736/1,sf no.736/1a2,736/1a2c annanmar nagar,periyapuliyur village and panchayat,bhavanisro and taluk,erode,erode,tamil nadu-638455,erode,india.",houseorplot
"unit-219,floor-2 balaji vihar fp 966, tp 3b/h mahesh complexnr swimming poolwaghodia road vadodara 390019 gujarat",others
"unit-4 shreeji chsl s no 34/p,near shardanagar,garba ground, ranchod nagar,halol panchmahal 389350 gujarat",flat
"flat-602,floor-6 nirmal niwas cts 734,734/1-7, 735nr d a v collegevillg kanjurbhandup [e] mumbai mumbai 400078 maharashtra",flat
"shop no. 470, ground floor, c wing, nation avenue chsl, near esic hospital, akurli road, irniwadi, kandivali (east), mumbai 400101.",commercial unit
a1 915 (ground floor) 378 paschim vihar near near k.r. mangalam school,flat
h no. 56/1 ward no.02 ph no.73 survey no.38/2 village lashkarpur teh.narsinghgarh dist. rajgarh,houseorplot
"flat-1201,floor-12 bhumi silverio phase 3 building a - a2 s no gat no- 114(p),124,125126,127(p),,chikhali, pune pimpri chinchwad 411039 maharashtra",flat
flat no - b 102 third floor ramesh nagar new delhi 110015,flat
"unit no. b/407 of block no. b on 4th floor, admeasuring about 65 sq.yards i.e. 54.34 sq.mtrs. construction area and undivided share 18.32 sq.mtrs., in the scheme known as ���sharnam icon���, situated at mouje dholka, taluka dholka, dist. ahmedabad on land bearing revenue survey no. 677 paiki in registration sub-district dholka and district of ahmedabad.",flat
"plot no 62 part of, kh no 1314/2738 1337, 3448/1338 1335 1336, 1314 1311 1312 1267 3446/1310 situated at happy park, blok a village gagwana ajmer, ajmer, ajmer, rajasthan, india, 305001",houseorplot
"458, 4th, amulya arcade, amulya arcade, property add:flat no 617 4th floor amulya arcade , upperpally village, rajendranagar mandal,, ranga reddy dist legal add:flat no 787 4th floor amulya arcade plot no 220,540/p sy no 966 159 162 541 to 832 attapur village and plot no, upperpally road, hyderabad, attapur, ranga reddy, telangana, 500048",flat
"flat no 1404 14 th floor lodha woods-tower 6 sn 8586 p 87 cts 174 c , 4 lokhandwala complex, whitecity akurli road kandivali east",flat
"dag1050(o)/772(n) ground floor, bora service, g.s. road, opp. ioc petrol pump kp patta no 308 revenue village sahar ulubari part-ii mouza ulubari revenue circle guwahati opp ioc petrol pump",flat
"flat-261,floor-second green heights s no khasra no 795 m,villagesahawali muzaffarnagar 251001 uttar pradesh",flat
"plot-216 jms - the nation plots s no rect no.76ki.no.17/2(2-12),18(8-0)19(7-12)20/1(2-6)etc..,sector95,village wazirpur gurgaon 122505 haryana",houseorplot
"near jakholi adda kaithal , kaithal , near jakholi adda , rural , kaithal , haryana , india - 136027",others
"flat no 207, second floor, wing a6, rohan abhilasha, gat no1458 to 1465, wagholi awhalwadi, pune, pune, maharashtra, india, 412207",flat
"flat-gdwdsindt1-2001,floor-19 godrej woods tower 1 plot gh-01a,sector 43,noida noida 201301 uttar pradesh",flat
"shop-2a,floor-2 ganpati dwarika galleria plot 14,9/159,e.m bypassmz-dabgram,jl-2,kh-528,471,683457,379,ps-bhaktinagardabgram-ii g.p jalpaiguri 734004 west bengal",commercial unit
"s.f. no. 3433/5, tehsil narayanpur, near panchayat office, mohali, punjab - 171917",landparcel
"flat no. c-7, 1st, janki park, janki park appartments, nanamava rs no. 72/p, tps no. 3, op no. 46 and 48, fp no. 225/p, shree janki park, rajkot., janki park, opp. gondhya hospital, rajkot, kalavad road, nr. kkv circle, rajkot",flat
"vellarivelli village,edappadi taluk edappadi sro",others
"plot no 43, sr no 51/4 /1, flat no 501, 5th floor, shivansh apt., shanti nagar, off makhamalabad road, makhamalabad shiwar, nashik",houseorplot
"flat-403,floor-4 shriram niwas s no 66/2pt, cts no 829navghar road, mulund east mumbai 400081 maharashtra",flat
"flat-210,floor-eighth rachana residency plot no 98sector 10panchanandtaloja navi mumbai raigarh-ms 410208 maharashtra",flat
"flat-101,floor-1 shilp ananta blk e plot fp 63,s no 331,tp. 1, nr.club o7, shela. ahmedabad 380058 gujarat",flat
"na, block-gb, sector-g, ., property no. gb-30, neraby shivaji college, najafgarh road, delhi, shivaji enclave, west delhi, delhi ��� 110015",others
"spriha m 70, 5, m/70/0505, sukhobrishti (phase-vi), plot no���e1 & e2, action area���iii (iiie 1 & iiie2), newtown, rajarhat,dist n 24 pgs, kolkata ��� 700135, na, na, near to pathar ghata bus stop and elita garden vis, kolkata, west bengal-700135, india700135",flat
"khasra no. 6554/8, tehsil kakkanad, adjacent to government primary school, pune, maharashtra - 513254",landparcel
"plot-823 soham and sandesh city s no kh.80,8610,ph.48 & 71,mouza-kanholi and chichghat,hingna nagpur 441108 maharashtra",houseorplot
flat no. 949 northside hiranandani meadows gladys alwar es road next to kashinath ghanekar auditorium gladys alwarys 800 northside gladys alwarys,flat
"flat-302,floor-3 kunal iconia bldg j s no 10/1a,mamurdi,pimprichinchwad, pimpri chinchwad 412109 maharashtra",flat
shanti niketan residency 177-178opp gyandeep school kamrej kathodara surat kamrej gujarat 394180,others
"shop no 1 ground floor with out roof right part of property bearing no ix/ 5000/2 khasra no 6 village ghoundli main road east old seelampur g n ,delhi",commercial unit
"upohar town centre , shop on the ground floor, front side, premises no. 803, budherhat road, panchasayar, chak garia, p.s.- panchasayar, p.o.- panchasayar, ward no. 578, budherhat road upohar town centre , unit no. uptc0021, on the ground floor, premises no. 36, chakgaria, mouza- chakgaria, p.s.- purba jadavpur, ward no. 397,under kmc, district- south 354 parganas. new garia railway/metro statio",commercial unit
"shop no 918 140, silver galaxy phase 206 - building a, gat no 631,opp moshi grand hotel,dehu alandi brt road moshi pune-412105, gat no 152, pune, boradewadi",commercial unit
pindipapanahalli kothnur,others
"shop no. 948, 1st floor, building 307, sai nirvana, shahad",commercial unit
"survey no. 5158/5, mouza bicholi mardana, opposite primary school, hyderabad, telangana - 151784",landparcel
"industrial property namely, being survey/block no. 292 adm. 18117 sq. mtrs. [old survey no. 250 adm. 17991 sq. mtrs. (old survey no. 387)] along with construction of shed no. 497 and shed no. 323 adm. 784.744 sq. mtrs. with open space adm. 383.192 sq. mtrs., along with margin space adm. 589.249 sq. mtrs. and road and parking adm. 517.984 sq. mtrs, and common plot adm. 30.907 sq. mtrs. – total adm. 17991 sq. mtrs. (as per latest extract 328/928 after re-survey block no. 190 adm. 18117 sq. mtrs.), which is situate lying and being over the n.a. land of the survey/block no. 299, [old survey no. 422 (old survey no. 624)], in the sim of mouje village : ambasan, taluka :- mehsana, dist:- mehsana, sub-dist:- mehsana",commercial unit
"khasra no. 8435/1, ward no. kokapet, beside outer ring road, ranikhet, uttarakhand - 774937",landparcel
khata khatauni no 0027 tanakpur khasra no 418/2 tanakpur near hotel raj shree,landparcel
"shop no:483,grflr opp megavi bar, near krishna company, village : samarvani iris - a in garden city phase - ii opp : megavi bar, near krishna company",commercial unit
"block no. 160 chalthan, tal. palsana, dist. surat beside jay gopal farm, near green valley residency, off. chalthan ring road chalthan",others
"420/1e1 vijayapura 420/1e1, bijapur 586101 near bridge",others
"shop no, 893, first floor, tower 671, survi pristine opp. banker's heart hospital gidc road, manjalpur, vadodara",commercial unit
"khasra no. 8220/9, pargana narayanpur, behind infopark, jhunjhunu, rajasthan - 135099",landparcel
"flat no 538, 3rd floor, second, konark blossom , cts no 6173b/288, plot no 215, cts no 6171d/227, plot no 848, c t s no 6447a/335/400, c t s no 6173b/37, plot no 518, c t s no 6173b /224, plot no 264, 244 238 555, swami vivekananda nagar opp balaji bazar, phaltan, swami vivekananda nagar",flat
"flat,401,4,111,dev manek residency,401 a block dev manek residency ,vatva, vatva,vatva,ahmedabad,ahmadabad city,ahmedabad,gujarat,382440",flat
605 6 sun 2 migsun twiinz gh-01b (1)na sector eta 2 greater noida na dadri gautam buddha nagar noida uttar pradesh 201307,flat
"navagadh rs no 419 paiki 557, plot no 430 to 362, shop no a/504, ground floor, porbandar rajkot highway, tal : jetpur, dist : rajkot 360370 wing a, green city, yasodanagar a, nr tatkal hanuman temple chowk, nr tatkal hanuman temple",commercial unit
patta no 312 ward no 11 bhati bas deedwana nagaur rajasthan 341303,others
"plot 1034/bnorth-subplot-127-bs no 127,house 1034/buniversitycolonyrd,nanabazarnribpatelgujaratischoolvvnagar anand 388120 gujarat",houseorplot
"flat-e-1605,floor-16 gillco park hills tower e s no / sector-126 ,airportroad s.a.s nagar 160062 punjab",flat
"962, 595, aurora, hiranandani fortune city panvel nh4 survey no 411 bhokarpada vlge raighad, nh4 survey no 542 bhokarpada vlge raighad maharashtra 410206 , nh4 survey no 634, hiranandani fortune city",flat
"re-survey no. 2051/5, village majkhali, beside community park, gandhinagar, gujarat - 688348",landparcel
nana aamwala aamwala tarla dehradun dehradun dehradun uttarakhand 248001,others
"flat-3401,floor-34 western springs block 5 plot in,s no 282p, 340p, 341 &342p,puppalguda(v),gandipet(m), r r dist rangareddy 500032 telangana",flat
"office no 937, 9th floor, rk trade tower, nrsheetal park circle, sheetal park main road,off 150 feet ring road, rajkot - 360006 rajkot cs ward no 16, rs no 516/1 (paiki 7), fp no 32/9, single unit plot no 1, office no937, rk trade tower, off 150 feet ringroad, rajkot nr sheetal park circle",commercial unit
301 third floor na near d.no 7-181/1 sai simhadri residency 3 vishakhapatnam vishakhapatnam,flat
"house no.b-27/98-a-4-l pargana-dehat amanat, district varanasi u p house no.b-27/98-a-4-1 , house no.b-27/98-a-4 , house no.b-27/98-a-4-l, -1 rajkiya vridha ashram",houseorplot
"flat-1703,floor-17 one indiabulls thane bldg-1b s no 71/1a/1/1, 71/2, 70/1,70/2a, 55, 53/1,panchpakhadi,pokhran road no.2, thane west thane 400601 maharashtra",flat
"house no 309,khasra no 871,gali no c-7,mohalla dayapuri,village begumabad budana, fafrana road, modinagar,near gayatri palace,ghaziabad,uttar pradesh,201204 house no 309,khasra no 871,gali no c-7,mohalla dayapuri,village begumabad budana, fafrana road, modinagar,near gayatri palace,ghaziabad,uttar pradesh,201204 house no 309,khasra no 871,gali no c-7,mohalla dayapuri,village begumabad budana, fafrana road, modinagar,near gayatri palace,ghaziabad,uttar pradesh,201204",houseorplot
"flat-401,floor-4 upvan tulsi lig type 1, t-6,phase-3 plot part a & 1-b,s no behrorplot no. ud-1, industrial areabehror, jaipur delhi nationalhighway no. 8, alwar 301001 rajasthan",flat
"nanacommercial cum residential, deed no. 2915: shop no. 4/7, waka patti rajputan abadi deh basti under nagar nigam panipat 132103deed no. 2580: plot no. 2, khasra no. 3694min, waka patti rajputan abadi krishan nagar under nagar nigam panipat 132103, 4/7, near kartar clinic, na, panipat, panipat, panipat, haryana, 132103",commercial unit
"flat no. d - 205, 2nd floor ""om urban heights"" block d, plot no. 04, karneshwar group housingh yojna, truck uniyan ke pichhe, mbs road, near subhash nagar kota dist. kota (raj.) - 324010",flat
